Topic Id,Top Words...
0,names identifier identifiers study naming variable memory comprehension letters styles
1,program comprehension programs subjects programming results programmers study effect experiment
2,complexity mcc code control functions end programming easier time regularity
3,readability understandability models data features negative positive false set true
4,patterns confusing real las misunderstanding confusion atoms projects reported average
5,programmers blank methods documentation method automatic presentation ordering meaningful multimedia
6,code source developers readability metrics software quality show understanding results
7,style students programming novices studies language syntax languages expert effort
8,complexity measures software lambdas measuring obfuscation cognitive processes difficulty load
9,annotations systems type undisciplined static preprocessor experiment empirical side disciplined
