topicId,rank,docId,filename
0,0,24,file:/home/delano/Research/Comprehension/Clustering/Input/automatically%20assessing%20code%20understandability
0,1,28,file:/home/delano/Research/Comprehension/Clustering/Input/measurement%20of%20source%20code%20readability%20using%20word%20concreteness%20and%20memory%20retention%20of%20variable%20names
0,2,18,file:/home/delano/Research/Comprehension/Clustering/Input/automatically%20assessing%20code%20understandability%20reanalyzed%20combined%20metrics%20matter
0,3,5,file:/home/delano/Research/Comprehension/Clustering/Input/a%20paradigm%20for%20programming%20style%20research
0,4,35,file:/home/delano/Research/Comprehension/Clustering/Input/descriptive%20compound%20identifier%20names%20improve%20source%20code%20comprehension
0,5,34,file:/home/delano/Research/Comprehension/Clustering/Input/automatic%20segmentation%20of%20method%20code%20into%20meaningful%20blocks%20design%20and%20evaluation
0,6,33,file:/home/delano/Research/Comprehension/Clustering/Input/impacts%20of%20coding%20practices%20on%20readability
0,7,32,file:/home/delano/Research/Comprehension/Clustering/Input/effects%20of%20variable%20names%20on%20comprehension%20an%20empirical%20study
0,8,31,file:/home/delano/Research/Comprehension/Clustering/Input/measuring%20the%20impact%20of%20lexical%20and%20structural%20inconsistencies%20on%20developers%20cognitive%20load%20during%20bug%20localization
0,9,30,file:/home/delano/Research/Comprehension/Clustering/Input/the%20effect%20of%20modularization%20and%20comments%20on%20program%20comprehension
0,10,29,file:/home/delano/Research/Comprehension/Clustering/Input/replicating%20novices%20struggles%20with%20coding%20style
0,11,27,file:/home/delano/Research/Comprehension/Clustering/Input/an%20investigation%20of%20misunderstanding%20code%20patterns%20in%20c%20opensource%20software%20projects
0,12,26,file:/home/delano/Research/Comprehension/Clustering/Input/program%20comprehension%20investigating%20the%20effects%20of%20naming%20style%20and%20documentation
0,13,25,file:/home/delano/Research/Comprehension/Clustering/Input/an%20empirical%20study%20on%20the%20impact%20of%20c++%20lambdas%20and%20programmer%20experience
0,14,23,file:/home/delano/Research/Comprehension/Clustering/Input/exploring%20the%20influence%20of%20identifier%20names%20on%20code%20quality%20an%20empirical%20study
0,15,22,file:/home/delano/Research/Comprehension/Clustering/Input/how%20programmers%20read%20regular%20code%20a%20controlled%20experiment%20using%20eye%20tracking
0,16,21,file:/home/delano/Research/Comprehension/Clustering/Input/conditional%20statements%20looping%20constructs%20and%20program%20comprehension%20an%20experiments%20study
0,17,20,file:/home/delano/Research/Comprehension/Clustering/Input/a%20comprehensive%20model%20for%20code%20readability
0,18,19,file:/home/delano/Research/Comprehension/Clustering/Input/an%20experimental%20investigation%20of%20the%20effect%20of%20program%20structure%20on%20program%20understanding
0,19,17,file:/home/delano/Research/Comprehension/Clustering/Input/on%20method%20ordering
0,20,16,file:/home/delano/Research/Comprehension/Clustering/Input/the%20effects%20of%20naming%20style%20and%20expertise%20on%20program%20comprehension
0,21,15,file:/home/delano/Research/Comprehension/Clustering/Input/linking%20code%20readability%20structure%20and%20comprehension%20among%20novices%20its%20complicated
0,22,14,file:/home/delano/Research/Comprehension/Clustering/Input/measuring%20neural%20efficiency%20of%20program%20comprehension
